Match_ID,Date,Year,Format,Opponent,Venue,City,Innings_No,Runs,Balls_Faced,Fours,Sixes,Strike_Rate,Dismissed,Dismissal,Data_Source
963697,2016-02-09,2016,T20I,Sri Lanka,Maharashtra Cricket Association Stadium,Pune,1,2,6,0,0,33.33,1,lbw,Raw JSON
963699,2016-02-12,2016,T20I,Sri Lanka,JSCA International Stadium Complex,Ranchi,1,27,12,1,2,225.0,1,caught,Raw JSON
966745,2016-02-24,2016,T20I,Bangladesh,Shere Bangla National Stadium,Dhaka,1,31,18,4,1,172.22,1,caught,Raw JSON
966751,2016-02-27,2016,T20I,Pakistan,Shere Bangla National Stadium,Mirpur,1,0,2,0,0,0.0,1,caught,Raw JSON
966757,2016-03-01,2016,T20I,Sri Lanka,Shere Bangla National Stadium,Mirpur,1,2,4,0,0,50.0,1,bowled,Raw JSON
951329,2016-03-15,2016,T20I,New Zealand,"Vidarbha Cricket Association Stadium, Jamtha",Nagpur,1,1,7,0,0,14.29,1,lbw,Raw JSON
951353,2016-03-23,2016,T20I,Bangladesh,M Chinnaswamy Stadium,Bangalore,1,15,7,2,1,214.29,1,caught,Raw JSON
1030221,2016-10-20,2016,ODI,New Zealand,Feroz Shah Kotla,Delhi,1,36,32,3,0,112.5,1,caught,Raw JSON
1030225,2016-10-26,2016,ODI,New Zealand,JSCA International Stadium Complex,Ranchi,1,9,13,0,0,69.23,1,caught,Raw JSON
1034819,2017-01-15,2017,ODI,England,Maharashtra Cricket Association Stadium,Pune,1,40,37,3,1,108.11,0,Not Out,Raw JSON
1034821,2017-01-19,2017,ODI,England,Barabati Stadium,Cuttack,1,19,9,2,1,211.11,0,Not Out,Raw JSON
1034823,2017-01-22,2017,ODI,England,Eden Gardens,Kolkata,1,56,43,4,2,130.23,1,bowled,Raw JSON
1034825,2017-01-26,2017,T20I,England,Green Park,Kanpur,1,9,12,0,0,75.0,1,caught,Raw JSON
1034827,2017-01-29,2017,T20I,England,"Vidarbha Cricket Association Stadium, Jamtha",Nagpur,1,2,3,0,0,66.67,1,run out,Raw JSON
1034829,2017-02-01,2017,T20I,England,M Chinnaswamy Stadium,Bangalore,1,11,4,0,1,275.0,1,run out,Raw JSON
1022353,2017-06-04,2017,ODI,Pakistan,Edgbaston,Birmingham,1,20,6,0,3,333.33,0,Not Out,Raw JSON
1022361,2017-06-08,2017,ODI,Sri Lanka,Kennington Oval,London,1,9,5,0,1,180.0,1,caught,Raw JSON
1022375,2017-06-18,2017,ODI,Pakistan,Kennington Oval,London,1,76,43,4,6,176.74,0,Not Out,Raw JSON
1098207,2017-06-25,2017,ODI,West Indies,"Queen's Park Oval, Port of Spain",Trinidad,1,4,5,0,0,80.0,1,caught,Raw JSON
1098209,2017-07-02,2017,ODI,West Indies,"Sir Vivian Richards Stadium, North Sound",Antigua,1,20,21,1,1,95.24,1,bowled,Raw JSON
1109602,2017-07-26,2017,Test,Sri Lanka,Galle International Stadium,,1,50,49,5,3,102.04,1,caught,Raw JSON
1109603,2017-08-03,2017,Test,Sri Lanka,Sinhalese Sports Club Ground,Colombo,1,20,20,3,0,100.0,1,caught,Raw JSON
1109604,2017-08-12,2017,Test,Sri Lanka,Pallekele International Cricket Stadium,,1,108,96,8,7,112.5,1,caught,Raw JSON
1109606,2017-08-24,2017,ODI,Sri Lanka,Pallekele International Cricket Stadium,,1,0,3,0,0,0.0,1,stumped,Raw JSON
1109608,2017-08-31,2017,ODI,Sri Lanka,"R.Premadasa Stadium, Khettarama",Colombo,1,19,18,1,1,105.56,1,caught,Raw JSON
1119496,2017-09-17,2017,ODI,Australia,"MA Chidambaram Stadium, Chepauk",Chennai,1,83,66,5,5,125.76,1,caught,Raw JSON
1119497,2017-09-21,2017,ODI,Australia,Eden Gardens,Kolkata,1,20,26,2,0,76.92,1,caught,Raw JSON
1119498,2017-09-24,2017,ODI,Australia,Holkar Cricket Stadium,Indore,1,78,72,5,4,108.33,1,caught,Raw JSON
1119499,2017-09-28,2017,ODI,Australia,M.Chinnaswamy Stadium,Bengaluru,1,41,40,1,3,102.5,1,caught,Raw JSON
1119502,2017-10-10,2017,T20I,Australia,Barsapara Cricket Stadium,Guwahati,1,25,23,0,1,108.7,1,caught,Raw JSON
1120090,2017-10-22,2017,ODI,New Zealand,Wankhede Stadium,Mumbai,1,16,16,1,1,100.0,1,caught,Raw JSON
1120091,2017-10-25,2017,ODI,New Zealand,Maharashtra Cricket Association Stadium,Pune,1,30,31,2,1,96.77,1,caught,Raw JSON
1120092,2017-10-29,2017,ODI,New Zealand,Green Park,Kanpur,1,8,6,1,0,133.33,1,caught,Raw JSON
1120093,2017-11-01,2017,T20I,New Zealand,Arun Jaitley Stadium,Delhi,1,0,2,0,0,0.0,1,caught,Raw JSON
1120094,2017-11-04,2017,T20I,New Zealand,Saurashtra Cricket Association Stadium,Rajkot,1,1,2,0,0,50.0,1,bowled,Raw JSON
1120095,2017-11-07,2017,T20I,New Zealand,Greenfield International Stadium,Thiruvananthapuram,1,14,10,0,1,140.0,0,Not Out,Raw JSON
1122726,2017-12-10,2017,ODI,Sri Lanka,Himachal Pradesh Cricket Association Stadium,Dharamsala,1,10,10,2,0,100.0,1,caught,Raw JSON
1122727,2017-12-13,2017,ODI,Sri Lanka,"Punjab Cricket Association IS Bindra Stadium, Mohali",Chandigarh,1,8,5,1,0,160.0,1,caught,Raw JSON
1122730,2017-12-22,2017,T20I,Sri Lanka,Holkar Cricket Stadium,Indore,1,10,3,1,1,333.33,1,caught,Raw JSON
1122731,2017-12-24,2017,T20I,Sri Lanka,Wankhede Stadium,Mumbai,1,4,4,0,0,100.0,1,caught,Raw JSON
1122276,2018-01-05,2018,Test,South Africa,Newlands,Cape Town,1,93,95,14,1,97.89,1,caught,Raw JSON
1122276,2018-01-05,2018,Test,South Africa,Newlands,Cape Town,2,1,5,0,0,20.0,1,caught,Raw JSON
1122277,2018-01-13,2018,Test,South Africa,SuperSport Park,Centurion,1,15,45,2,0,33.33,1,run out,Raw JSON
1122277,2018-01-13,2018,Test,South Africa,SuperSport Park,Centurion,2,6,12,0,0,50.0,1,caught,Raw JSON
1122278,2018-01-24,2018,Test,South Africa,The Wanderers Stadium,Johannesburg,1,0,5,0,0,0.0,1,caught,Raw JSON
1122278,2018-01-24,2018,Test,South Africa,The Wanderers Stadium,Johannesburg,2,4,11,0,0,36.36,1,caught and bowled,Raw JSON
1122279,2018-02-01,2018,ODI,South Africa,Kingsmead,Durban,1,3,6,0,0,50.0,0,Not Out,Raw JSON
1122281,2018-02-07,2018,ODI,South Africa,Newlands,Cape Town,1,14,15,0,1,93.33,1,caught,Raw JSON
1122282,2018-02-10,2018,ODI,South Africa,The Wanderers Stadium,Johannesburg,1,9,13,1,0,69.23,1,caught,Raw JSON
1122283,2018-02-13,2018,ODI,South Africa,St George's Park,Port Elizabeth,1,0,1,0,0,0.0,1,caught,Raw JSON
1122285,2018-02-18,2018,T20I,South Africa,The Wanderers Stadium,Johannesburg,1,13,7,2,0,185.71,0,Not Out,Raw JSON
1122287,2018-02-24,2018,T20I,South Africa,Newlands,Cape Town,1,21,17,0,1,123.53,1,caught,Raw JSON
EXT_1133983,2018-06-14,2018,Test,Afghanistan,"M.Chinnaswamy Stadium, Bengaluru",Bengaluru,1,71,94,10,0,75.53,1,caught,Verified scorecard supplement
1140992,2018-06-27,2018,T20I,Ireland,"The Village, Malahide",Dublin,1,6,1,0,1,600.0,0,Not Out,Raw JSON
1140993,2018-06-29,2018,T20I,Ireland,"The Village, Malahide",Dublin,1,32,9,1,4,355.56,0,Not Out,Raw JSON
1119544,2018-07-06,2018,T20I,England,Sophia Gardens,Cardiff,1,12,10,0,1,120.0,0,Not Out,Raw JSON
1119545,2018-07-08,2018,T20I,England,County Ground,Bristol,1,33,14,4,2,235.71,0,Not Out,Raw JSON
1119547,2018-07-14,2018,ODI,England,Lord's,London,1,21,22,1,0,95.45,1,caught,Raw JSON
1119548,2018-07-17,2018,ODI,England,Headingley,Leeds,1,21,21,2,0,100.0,1,caught,Raw JSON
1119549,2018-08-01,2018,Test,England,Edgbaston,Birmingham,1,22,52,3,0,42.31,1,lbw,Raw JSON
1119549,2018-08-01,2018,Test,England,Edgbaston,Birmingham,2,31,61,4,0,50.82,1,caught,Raw JSON
1119550,2018-08-09,2018,Test,England,Lord's,London,1,11,10,2,0,110.0,1,caught,Raw JSON
1119550,2018-08-09,2018,Test,England,Lord's,London,2,26,43,5,0,60.47,1,lbw,Raw JSON
1119551,2018-08-18,2018,Test,England,Trent Bridge,Nottingham,1,18,58,4,0,31.03,1,caught,Raw JSON
1119551,2018-08-18,2018,Test,England,Trent Bridge,Nottingham,2,52,52,7,1,100.0,0,Not Out,Raw JSON
