Match_ID,Date,Year,Format,Opponent,Venue,City,Innings_No,Overs,Balls_Bowled,Maidens,Runs_Conceded,Wickets,Economy,Wides,No_Balls,Data_Source
895817,2016-01-26,2016,T20I,Australia,Adelaide Oval,,1,3.0,18,0,37,2,12.33,6,0,Raw JSON
895819,2016-01-29,2016,T20I,Australia,Melbourne Cricket Ground,,1,2.0,12,0,17,1,8.5,1,0,Raw JSON
895821,2016-01-31,2016,T20I,Australia,Sydney Cricket Ground,,1,2.0,12,0,24,0,12.0,3,0,Raw JSON
963697,2016-02-09,2016,T20I,Sri Lanka,Maharashtra Cricket Association Stadium,Pune,1,3.0,18,0,18,0,6.0,1,0,Raw JSON
963699,2016-02-12,2016,T20I,Sri Lanka,JSCA International Stadium Complex,Ranchi,1,1.0,6,0,5,0,5.0,0,0,Raw JSON
963701,2016-02-14,2016,T20I,Sri Lanka,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Visakhapatnam,1,2.0,12,0,13,0,6.5,1,0,Raw JSON
966745,2016-02-24,2016,T20I,Bangladesh,Shere Bangla National Stadium,Dhaka,1,4.0,24,0,23,1,5.75,3,0,Raw JSON
966751,2016-02-27,2016,T20I,Pakistan,Shere Bangla National Stadium,Mirpur,1,3.3,21,0,8,3,2.29,0,0,Raw JSON
966757,2016-03-01,2016,T20I,Sri Lanka,Shere Bangla National Stadium,Mirpur,1,4.0,24,0,26,2,6.5,0,0,Raw JSON
966761,2016-03-03,2016,T20I,United Arab Emirates,Shere Bangla National Stadium,Mirpur,1,3.0,18,1,11,1,3.67,1,0,Raw JSON
966765,2016-03-06,2016,T20I,Bangladesh,Shere Bangla National Stadium,Mirpur,1,3.0,18,0,35,0,11.67,1,0,Raw JSON
951329,2016-03-15,2016,T20I,New Zealand,"Vidarbha Cricket Association Stadium, Jamtha",Nagpur,1,1.0,6,0,10,0,10.0,1,0,Raw JSON
951341,2016-03-19,2016,T20I,Pakistan,Eden Gardens,Kolkata,1,2.0,12,0,25,1,12.5,0,0,Raw JSON
951353,2016-03-23,2016,T20I,Bangladesh,M Chinnaswamy Stadium,Bangalore,1,3.0,18,0,29,2,9.67,0,0,Raw JSON
951363,2016-03-27,2016,T20I,Australia,"Punjab Cricket Association IS Bindra Stadium, Mohali",Chandigarh,1,4.0,24,0,36,2,9.0,1,0,Raw JSON
951371,2016-03-31,2016,T20I,West Indies,Wankhede Stadium,Mumbai,1,4.0,24,0,43,0,10.75,0,1,Raw JSON
1030219,2016-10-16,2016,ODI,New Zealand,Himachal Pradesh Cricket Association Stadium,Dharmasala,1,7.0,42,0,31,3,4.43,0,0,Raw JSON
1030221,2016-10-20,2016,ODI,New Zealand,Feroz Shah Kotla,Delhi,1,9.0,54,0,45,0,5.0,1,0,Raw JSON
1030223,2016-10-23,2016,ODI,New Zealand,"Punjab Cricket Association Stadium, Mohali",Chandigarh,1,5.0,30,0,34,0,6.8,2,0,Raw JSON
1030225,2016-10-26,2016,ODI,New Zealand,JSCA International Stadium Complex,Ranchi,1,5.0,30,0,31,1,6.2,8,0,Raw JSON
1034819,2017-01-15,2017,ODI,England,Maharashtra Cricket Association Stadium,Pune,1,9.0,54,0,46,2,5.11,0,0,Raw JSON
1034821,2017-01-19,2017,ODI,England,Barabati Stadium,Cuttack,1,6.0,36,0,60,0,10.0,0,0,Raw JSON
1034823,2017-01-22,2017,ODI,England,Eden Gardens,Kolkata,1,10.0,60,1,49,3,4.9,1,0,Raw JSON
1034825,2017-01-26,2017,T20I,England,Green Park,Kanpur,1,2.0,12,0,12,0,6.0,1,0,Raw JSON
1034829,2017-02-01,2017,T20I,England,M Chinnaswamy Stadium,Bangalore,1,2.0,12,0,17,0,8.5,0,0,Raw JSON
1022353,2017-06-04,2017,ODI,Pakistan,Edgbaston,Birmingham,1,8.0,48,0,43,2,5.38,3,0,Raw JSON
1022361,2017-06-08,2017,ODI,Sri Lanka,Kennington Oval,London,1,7.0,42,1,51,0,7.29,1,0,Raw JSON
1022367,2017-06-11,2017,ODI,South Africa,Kennington Oval,London,1,10.0,60,0,52,1,5.2,3,0,Raw JSON
1022373,2017-06-15,2017,ODI,Bangladesh,Edgbaston,Birmingham,1,4.0,24,0,34,0,8.5,2,2,Raw JSON
1022375,2017-06-18,2017,ODI,Pakistan,Kennington Oval,London,1,10.0,60,0,53,1,5.3,1,0,Raw JSON
1098207,2017-06-25,2017,ODI,West Indies,"Queen's Park Oval, Port of Spain",Trinidad,1,9.0,54,0,32,0,3.56,1,0,Raw JSON
1098208,2017-06-30,2017,ODI,West Indies,"Sir Vivian Richards Stadium, North Sound",Antigua,1,6.0,36,0,32,2,5.33,5,0,Raw JSON
1098209,2017-07-02,2017,ODI,West Indies,"Sir Vivian Richards Stadium, North Sound",Antigua,1,10.0,60,0,40,3,4.0,4,0,Raw JSON
1098210,2017-07-06,2017,ODI,West Indies,"Sabina Park, Kingston",Jamaica,1,6.0,36,0,27,1,4.5,2,0,Raw JSON
1109602,2017-07-26,2017,Test,Sri Lanka,Galle International Stadium,,1,3.0,18,0,13,1,4.33,0,0,Raw JSON
1109602,2017-07-26,2017,Test,Sri Lanka,Galle International Stadium,,2,7.0,42,0,21,0,3.0,2,0,Raw JSON
1109603,2017-08-03,2017,Test,Sri Lanka,Sinhalese Sports Club Ground,Colombo,2,15.0,90,2,31,2,2.07,2,2,Raw JSON
1109604,2017-08-12,2017,Test,Sri Lanka,Pallekele International Cricket Stadium,,1,6.0,36,1,28,1,4.67,0,0,Raw JSON
1109604,2017-08-12,2017,Test,Sri Lanka,Pallekele International Cricket Stadium,,2,1.0,6,0,2,0,2.0,0,0,Raw JSON
1109605,2017-08-20,2017,ODI,Sri Lanka,Rangiri Dambulla International Stadium,,1,6.0,36,0,35,0,5.83,3,0,Raw JSON
1109606,2017-08-24,2017,ODI,Sri Lanka,Pallekele International Cricket Stadium,,1,5.2,32,0,24,1,4.5,2,0,Raw JSON
1109607,2017-08-27,2017,ODI,Sri Lanka,Pallekele International Cricket Stadium,,1,8.0,48,0,42,1,5.25,2,0,Raw JSON
1109608,2017-08-31,2017,ODI,Sri Lanka,"R.Premadasa Stadium, Khettarama",Colombo,1,8.0,48,0,50,2,6.25,4,0,Raw JSON
1119496,2017-09-17,2017,ODI,Australia,"MA Chidambaram Stadium, Chepauk",Chennai,1,4.0,24,0,28,2,7.0,1,0,Raw JSON
1119497,2017-09-21,2017,ODI,Australia,Eden Gardens,Kolkata,1,10.0,60,0,56,2,5.6,1,0,Raw JSON
1119498,2017-09-24,2017,ODI,Australia,Holkar Cricket Stadium,Indore,1,10.0,60,0,58,1,5.8,2,0,Raw JSON
1119499,2017-09-28,2017,ODI,Australia,M.Chinnaswamy Stadium,Bengaluru,1,5.0,30,0,32,0,6.4,2,0,Raw JSON
1119500,2017-10-01,2017,ODI,Australia,"Vidarbha Cricket Association Stadium, Jamtha",Nagpur,1,2.0,12,0,14,1,7.0,0,0,Raw JSON
1119501,2017-10-07,2017,T20I,Australia,JSCA International Stadium Complex,Ranchi,1,4.0,24,0,33,1,8.25,0,0,Raw JSON
1119502,2017-10-10,2017,T20I,Australia,Barsapara Cricket Stadium,Guwahati,1,2.0,12,0,13,0,6.5,0,0,Raw JSON
1120090,2017-10-22,2017,ODI,New Zealand,Wankhede Stadium,Mumbai,1,10.0,60,0,46,1,4.6,2,0,Raw JSON
1120091,2017-10-25,2017,ODI,New Zealand,Maharashtra Cricket Association Stadium,Pune,1,4.0,24,0,23,1,5.75,2,0,Raw JSON
1120092,2017-10-29,2017,ODI,New Zealand,Green Park,Kanpur,1,5.0,30,0,47,0,9.4,2,0,Raw JSON
1120093,2017-11-01,2017,T20I,New Zealand,Arun Jaitley Stadium,Delhi,1,1.0,6,0,11,1,11.0,0,0,Raw JSON
1120094,2017-11-04,2017,T20I,New Zealand,Saurashtra Cricket Association Stadium,Rajkot,1,1.0,6,0,14,0,14.0,0,0,Raw JSON
1120095,2017-11-07,2017,T20I,New Zealand,Greenfield International Stadium,Thiruvananthapuram,1,1.0,6,0,11,0,11.0,1,0,Raw JSON
1122726,2017-12-10,2017,ODI,Sri Lanka,Himachal Pradesh Cricket Association Stadium,Dharamsala,1,5.0,30,0,39,1,7.8,7,0,Raw JSON
1122727,2017-12-13,2017,ODI,Sri Lanka,"Punjab Cricket Association IS Bindra Stadium, Mohali",Chandigarh,1,10.0,60,0,39,1,3.9,0,0,Raw JSON
1122728,2017-12-17,2017,ODI,Sri Lanka,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Visakhapatnam,1,10.0,60,1,49,2,4.9,1,0,Raw JSON
1122729,2017-12-20,2017,T20I,Sri Lanka,Barabati Stadium,Cuttack,1,4.0,24,0,29,3,7.25,1,0,Raw JSON
1122730,2017-12-22,2017,T20I,Sri Lanka,Holkar Cricket Stadium,Indore,1,3.2,20,0,23,1,6.9,0,0,Raw JSON
1122731,2017-12-24,2017,T20I,Sri Lanka,Wankhede Stadium,Mumbai,1,4.0,24,0,25,2,6.25,3,0,Raw JSON
1122276,2018-01-05,2018,Test,South Africa,Newlands,Cape Town,1,12.0,72,1,53,1,4.42,0,0,Raw JSON
1122276,2018-01-05,2018,Test,South Africa,Newlands,Cape Town,2,6.0,36,0,27,2,4.5,0,0,Raw JSON
1122277,2018-01-13,2018,Test,South Africa,SuperSport Park,Centurion,1,16.0,96,4,50,0,3.12,0,0,Raw JSON
1122277,2018-01-13,2018,Test,South Africa,SuperSport Park,Centurion,2,9.0,54,1,14,0,1.56,0,0,Raw JSON
1122278,2018-01-24,2018,Test,South Africa,The Wanderers Stadium,Johannesburg,1,2.0,12,0,3,0,1.5,0,0,Raw JSON
1122278,2018-01-24,2018,Test,South Africa,The Wanderers Stadium,Johannesburg,2,6.0,36,1,15,0,2.5,1,0,Raw JSON
1122279,2018-02-01,2018,ODI,South Africa,Kingsmead,Durban,1,7.0,42,0,41,0,5.86,0,1,Raw JSON
1122280,2018-02-04,2018,ODI,South Africa,SuperSport Park,Centurion,1,5.0,30,0,34,0,6.8,0,0,Raw JSON
1122281,2018-02-07,2018,ODI,South Africa,Newlands,Cape Town,1,8.0,48,0,35,0,4.38,1,0,Raw JSON
1122282,2018-02-10,2018,ODI,South Africa,The Wanderers Stadium,Johannesburg,1,5.0,30,0,37,1,7.4,2,0,Raw JSON
1122283,2018-02-13,2018,ODI,South Africa,St George's Park,Port Elizabeth,1,9.0,54,0,30,2,3.33,1,0,Raw JSON
1122284,2018-02-16,2018,ODI,South Africa,SuperSport Park,Centurion,1,10.0,60,0,39,1,3.9,0,0,Raw JSON
1122285,2018-02-18,2018,T20I,South Africa,The Wanderers Stadium,Johannesburg,1,4.0,24,0,45,1,11.25,3,0,Raw JSON
1122286,2018-02-21,2018,T20I,South Africa,SuperSport Park,Centurion,1,4.0,24,0,31,1,7.75,1,0,Raw JSON
1122287,2018-02-24,2018,T20I,South Africa,Newlands,Cape Town,1,4.0,24,0,22,1,5.5,0,0,Raw JSON
EXT_1133983,2018-06-14,2018,Test,Afghanistan,"M.Chinnaswamy Stadium, Bengaluru",Bengaluru,2,9.0,54,0,24,0,2.67,0,0,Verified scorecard supplement
1140992,2018-06-27,2018,T20I,Ireland,"The Village, Malahide",Dublin,1,4.0,24,0,36,0,9.0,0,0,Raw JSON
