Match_ID,Date,Year,Format,Opponent,Venue,City,Result,Margin,Hardik_Batted,Hardik_Bowled,Hardik_Runs,Hardik_Wickets,Event,Match_Number,Data_Source
895817,2016-01-26,2016,T20I,Australia,Adelaide Oval,,Win,37 runs,False,True,0,2,India in Australia T20I Series,1.0,Raw JSON
895819,2016-01-29,2016,T20I,Australia,Melbourne Cricket Ground,,Win,27 runs,False,True,0,1,India in Australia T20I Series,2.0,Raw JSON
895821,2016-01-31,2016,T20I,Australia,Sydney Cricket Ground,,Win,7 wickets,False,True,0,0,India in Australia T20I Series,3.0,Raw JSON
963697,2016-02-09,2016,T20I,Sri Lanka,Maharashtra Cricket Association Stadium,Pune,Loss,5 wickets,True,True,2,0,Sri Lanka in India T20I Series,1.0,Raw JSON
963699,2016-02-12,2016,T20I,Sri Lanka,JSCA International Stadium Complex,Ranchi,Win,69 runs,True,True,27,0,Sri Lanka in India T20I Series,2.0,Raw JSON
963701,2016-02-14,2016,T20I,Sri Lanka,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Visakhapatnam,Win,9 wickets,False,True,0,0,Sri Lanka in India T20I Series,3.0,Raw JSON
966745,2016-02-24,2016,T20I,Bangladesh,Shere Bangla National Stadium,Dhaka,Win,45 runs,True,True,31,1,Asia Cup,1.0,Raw JSON
966751,2016-02-27,2016,T20I,Pakistan,Shere Bangla National Stadium,Mirpur,Win,5 wickets,True,True,0,3,Asia Cup,4.0,Raw JSON
966757,2016-03-01,2016,T20I,Sri Lanka,Shere Bangla National Stadium,Mirpur,Win,5 wickets,True,True,2,2,Asia Cup,7.0,Raw JSON
966761,2016-03-03,2016,T20I,United Arab Emirates,Shere Bangla National Stadium,Mirpur,Win,9 wickets,False,True,0,1,Asia Cup,9.0,Raw JSON
966765,2016-03-06,2016,T20I,Bangladesh,Shere Bangla National Stadium,Mirpur,Win,8 wickets,False,True,0,0,Asia Cup,,Raw JSON
951329,2016-03-15,2016,T20I,New Zealand,"Vidarbha Cricket Association Stadium, Jamtha",Nagpur,Loss,47 runs,True,True,1,0,World T20,13.0,Raw JSON
951341,2016-03-19,2016,T20I,Pakistan,Eden Gardens,Kolkata,Win,6 wickets,False,True,0,1,World T20,19.0,Raw JSON
951353,2016-03-23,2016,T20I,Bangladesh,M Chinnaswamy Stadium,Bangalore,Win,1 runs,True,True,15,2,World T20,25.0,Raw JSON
951363,2016-03-27,2016,T20I,Australia,"Punjab Cricket Association IS Bindra Stadium, Mohali",Chandigarh,Win,6 wickets,False,True,0,2,World T20,31.0,Raw JSON
951371,2016-03-31,2016,T20I,West Indies,Wankhede Stadium,Mumbai,Loss,7 wickets,False,True,0,0,World T20,,Raw JSON
1030219,2016-10-16,2016,ODI,New Zealand,Himachal Pradesh Cricket Association Stadium,Dharmasala,Win,6 wickets,False,True,0,3,New Zealand in India ODI Series,1.0,Raw JSON
1030221,2016-10-20,2016,ODI,New Zealand,Feroz Shah Kotla,Delhi,Loss,6 runs,True,True,36,0,New Zealand in India ODI Series,2.0,Raw JSON
1030223,2016-10-23,2016,ODI,New Zealand,"Punjab Cricket Association Stadium, Mohali",Chandigarh,Win,7 wickets,False,True,0,0,New Zealand in India ODI Series,3.0,Raw JSON
1030225,2016-10-26,2016,ODI,New Zealand,JSCA International Stadium Complex,Ranchi,Loss,19 runs,True,True,9,1,New Zealand in India ODI Series,4.0,Raw JSON
1034819,2017-01-15,2017,ODI,England,Maharashtra Cricket Association Stadium,Pune,Win,3 wickets,True,True,40,2,England in India ODI Series,1.0,Raw JSON
1034821,2017-01-19,2017,ODI,England,Barabati Stadium,Cuttack,Win,15 runs,True,True,19,0,England in India ODI Series,2.0,Raw JSON
1034823,2017-01-22,2017,ODI,England,Eden Gardens,Kolkata,Loss,5 runs,True,True,56,3,England in India ODI Series,3.0,Raw JSON
1034825,2017-01-26,2017,T20I,England,Green Park,Kanpur,Loss,7 wickets,True,True,9,0,England in India T20I Series,1.0,Raw JSON
1034827,2017-01-29,2017,T20I,England,"Vidarbha Cricket Association Stadium, Jamtha",Nagpur,Win,5 runs,True,False,2,0,England in India T20I Series,2.0,Raw JSON
1034829,2017-02-01,2017,T20I,England,M Chinnaswamy Stadium,Bangalore,Win,75 runs,True,True,11,0,England in India T20I Series,3.0,Raw JSON
1022353,2017-06-04,2017,ODI,Pakistan,Edgbaston,Birmingham,Win,124 runs,True,True,20,2,ICC Champions Trophy,4.0,Raw JSON
1022361,2017-06-08,2017,ODI,Sri Lanka,Kennington Oval,London,Loss,7 wickets,True,True,9,0,ICC Champions Trophy,8.0,Raw JSON
1022367,2017-06-11,2017,ODI,South Africa,Kennington Oval,London,Win,8 wickets,False,True,0,1,ICC Champions Trophy,11.0,Raw JSON
1022373,2017-06-15,2017,ODI,Bangladesh,Edgbaston,Birmingham,Win,9 wickets,False,True,0,0,ICC Champions Trophy,,Raw JSON
1022375,2017-06-18,2017,ODI,Pakistan,Kennington Oval,London,Loss,180 runs,True,True,76,1,ICC Champions Trophy,,Raw JSON
1098206,2017-06-23,2017,ODI,West Indies,"Queen's Park Oval, Port of Spain",Trinidad,No Result,,False,False,0,0,India in West Indies ODI Series,1.0,Raw JSON
1098207,2017-06-25,2017,ODI,West Indies,"Queen's Park Oval, Port of Spain",Trinidad,Win,105 runs,True,True,4,0,India in West Indies ODI Series,2.0,Raw JSON
1098208,2017-06-30,2017,ODI,West Indies,"Sir Vivian Richards Stadium, North Sound",Antigua,Win,93 runs,False,True,0,2,India in West Indies ODI Series,3.0,Raw JSON
1098209,2017-07-02,2017,ODI,West Indies,"Sir Vivian Richards Stadium, North Sound",Antigua,Loss,11 runs,True,True,20,3,India in West Indies ODI Series,4.0,Raw JSON
1098210,2017-07-06,2017,ODI,West Indies,"Sabina Park, Kingston",Jamaica,Win,8 wickets,False,True,0,1,India in West Indies ODI Series,5.0,Raw JSON
1109602,2017-07-26,2017,Test,Sri Lanka,Galle International Stadium,,Win,304 runs,True,True,50,1,India tour of Sri Lanka,1.0,Raw JSON
1109603,2017-08-03,2017,Test,Sri Lanka,Sinhalese Sports Club Ground,Colombo,Win,53 runs,True,True,20,2,India tour of Sri Lanka,2.0,Raw JSON
1109604,2017-08-12,2017,Test,Sri Lanka,Pallekele International Cricket Stadium,,Win,171 runs,True,True,108,1,India tour of Sri Lanka,3.0,Raw JSON
1109605,2017-08-20,2017,ODI,Sri Lanka,Rangiri Dambulla International Stadium,,Win,9 wickets,False,True,0,0,India tour of Sri Lanka,1.0,Raw JSON
1109606,2017-08-24,2017,ODI,Sri Lanka,Pallekele International Cricket Stadium,,Win,3 wickets,True,True,0,1,India tour of Sri Lanka,2.0,Raw JSON
1109607,2017-08-27,2017,ODI,Sri Lanka,Pallekele International Cricket Stadium,,Win,6 wickets,False,True,0,1,India tour of Sri Lanka,3.0,Raw JSON
1109608,2017-08-31,2017,ODI,Sri Lanka,"R.Premadasa Stadium, Khettarama",Colombo,Win,168 runs,True,True,19,2,India tour of Sri Lanka,4.0,Raw JSON
1119496,2017-09-17,2017,ODI,Australia,"MA Chidambaram Stadium, Chepauk",Chennai,Win,26 runs,True,True,83,2,Australia tour of India,1.0,Raw JSON
1119497,2017-09-21,2017,ODI,Australia,Eden Gardens,Kolkata,Win,50 runs,True,True,20,2,Australia tour of India,2.0,Raw JSON
1119498,2017-09-24,2017,ODI,Australia,Holkar Cricket Stadium,Indore,Win,5 wickets,True,True,78,1,Australia tour of India,3.0,Raw JSON
1119499,2017-09-28,2017,ODI,Australia,M.Chinnaswamy Stadium,Bengaluru,Loss,21 runs,True,True,41,0,Australia tour of India,4.0,Raw JSON
1119500,2017-10-01,2017,ODI,Australia,"Vidarbha Cricket Association Stadium, Jamtha",Nagpur,Win,7 wickets,False,True,0,1,Australia tour of India,5.0,Raw JSON
1119501,2017-10-07,2017,T20I,Australia,JSCA International Stadium Complex,Ranchi,Win,9 wickets,False,True,0,1,Australia tour of India,1.0,Raw JSON
1119502,2017-10-10,2017,T20I,Australia,Barsapara Cricket Stadium,Guwahati,Loss,8 wickets,True,True,25,0,Australia tour of India,2.0,Raw JSON
1120090,2017-10-22,2017,ODI,New Zealand,Wankhede Stadium,Mumbai,Loss,6 wickets,True,True,16,1,New Zealand tour of India,1.0,Raw JSON
1120091,2017-10-25,2017,ODI,New Zealand,Maharashtra Cricket Association Stadium,Pune,Win,6 wickets,True,True,30,1,New Zealand tour of India,2.0,Raw JSON
1120092,2017-10-29,2017,ODI,New Zealand,Green Park,Kanpur,Win,6 runs,True,True,8,0,New Zealand tour of India,3.0,Raw JSON
1120093,2017-11-01,2017,T20I,New Zealand,Arun Jaitley Stadium,Delhi,Win,53 runs,True,True,0,1,New Zealand tour of India,1.0,Raw JSON
1120094,2017-11-04,2017,T20I,New Zealand,Saurashtra Cricket Association Stadium,Rajkot,Loss,40 runs,True,True,1,0,New Zealand tour of India,2.0,Raw JSON
1120095,2017-11-07,2017,T20I,New Zealand,Greenfield International Stadium,Thiruvananthapuram,Win,6 runs,True,True,14,0,New Zealand tour of India,3.0,Raw JSON
1122726,2017-12-10,2017,ODI,Sri Lanka,Himachal Pradesh Cricket Association Stadium,Dharamsala,Loss,7 wickets,True,True,10,1,Sri Lanka tour of India,1.0,Raw JSON
1122727,2017-12-13,2017,ODI,Sri Lanka,"Punjab Cricket Association IS Bindra Stadium, Mohali",Chandigarh,Win,141 runs,True,True,8,1,Sri Lanka tour of India,2.0,Raw JSON
1122728,2017-12-17,2017,ODI,Sri Lanka,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Visakhapatnam,Win,8 wickets,False,True,0,2,Sri Lanka tour of India,3.0,Raw JSON
1122729,2017-12-20,2017,T20I,Sri Lanka,Barabati Stadium,Cuttack,Win,93 runs,False,True,0,3,Sri Lanka tour of India,1.0,Raw JSON
1122730,2017-12-22,2017,T20I,Sri Lanka,Holkar Cricket Stadium,Indore,Win,88 runs,True,True,10,1,Sri Lanka tour of India,2.0,Raw JSON
1122731,2017-12-24,2017,T20I,Sri Lanka,Wankhede Stadium,Mumbai,Win,5 wickets,True,True,4,2,Sri Lanka tour of India,3.0,Raw JSON
1122276,2018-01-05,2018,Test,South Africa,Newlands,Cape Town,Loss,72 runs,True,True,94,3,India tour of South Africa,1.0,Raw JSON
1122277,2018-01-13,2018,Test,South Africa,SuperSport Park,Centurion,Loss,135 runs,True,True,21,0,India tour of South Africa,2.0,Raw JSON
1122278,2018-01-24,2018,Test,South Africa,The Wanderers Stadium,Johannesburg,Win,63 runs,True,True,4,0,India tour of South Africa,3.0,Raw JSON
1122279,2018-02-01,2018,ODI,South Africa,Kingsmead,Durban,Win,6 wickets,True,True,3,0,India tour of South Africa,1.0,Raw JSON
1122280,2018-02-04,2018,ODI,South Africa,SuperSport Park,Centurion,Win,9 wickets,False,True,0,0,India tour of South Africa,2.0,Raw JSON
